Ms,maxfield,t
-2500.0,0.1884843971540835,4997.0
-2500.0,0.1256603988334962,4998.0
-2498.0,0.06283143965559906,4999.0
-2500.0,4.899825157862589e-14,5000.0
-2498.0,-0.06283143965557213,5001.0
-2500.0,-0.12566039883354033,5002.0
-2500.0,-0.18848439715405657,5003.0
-2500.0,-0.2513009544333812,5004.0
-2498.0,-0.31410759078124995,5005.0
-2496.0,-0.37690182669934397,5006.0
-2500.0,-0.4396811831786082,5007.0
-2500.0,-0.5024431817976863,5008.0
-2494.0,-0.5651853448202676,5009.0
-2498.0,-0.6279051952931168,5010.0
-2500.0,-0.6906002571440016,5011.0
-2500.0,-0.7532680552793024,5012.0
-2496.0,-0.8159061156815822,5013.0
-2500.0,-0.8785119655073992,5014.0
-2494.0,-0.9410831331851421,5015.0
-2498.0,-1.0036171485121086,5016.0
-2496.0,-1.0661115427525902,5017.0
-2500.0,-1.1285638487348395,5018.0
-2494.0,-1.1909716009486808,5019.0
-2496.0,-1.2533323356429869,5020.0
-2500.0,-1.3156435909228006,5021.0
-2494.0,-1.3779029068463877,5022.0
-2494.0,-1.44010782552256,5023.0
-2494.0,-1.5022558912075699,5024.0
-2500.0,-1.564344650402269,5025.0
-2498.0,-1.6263716519488276,5026.0
-2498.0,-1.6883344471273616,5027.0
-2494.0,-1.7502305897527441,5028.0
-2494.0,-1.8120576362713186,5029.0
-2494.0,-1.8738131458572225,5030.0
-2486.0,-1.9354946805086097,5031.0
-2490.0,-1.997099805144039,5032.0
-2486.0,-2.058626087698813,5033.0
-2490.0,-2.1200710992205076,5034.0
-2492.0,-2.1814324139654175,5035.0
-2482.0,-2.2427076094938347,5036.0
-2478.0,-2.30389426676589,5037.0
-2482.0,-2.364989970237262,5038.0
-2490.0,-2.425992307954051,5039.0
-2488.0,-2.4868988716485556,5040.0
-2472.0,-2.547707256833791,5041.0
-2488.0,-2.6084150628989695,5042.0
-2484.0,-2.6690198932037172,5043.0
-2474.0,-2.729519355173245,5044.0
-2476.0,-2.7899110603922472,5045.0
-2476.0,-2.850192624699746,5046.0
-2464.0,-2.910361668282734,5047.0
-2466.0,-2.9704158157703264,5048.0
-2464.0,-3.0303526963276797,5049.0
-2462.0,-3.0901699437494443,5050.0
-2446.0,-3.149865196553048,5051.0
-2460.0,-3.209436098072125,5052.0
-2448.0,-3.2688802965494173,5053.0
-2442.0,-3.3281954452298224,5054.0
-2424.0,-3.387379202452899,5055.0
-2424.0,-3.4464292317451855,5056.0
-2410.0,-3.505343201912635,5057.0
-2422.0,-3.5641187871324487,5058.0
-2404.0,-3.622753667045428,5059.0
-2410.0,-3.68124552684678,5060.0
-2382.0,-3.7395920573780344,5061.0
-2360.0,-3.7977909552180042,5062.0
-2366.0,-3.8558399227739226,5063.0
-2348.0,-3.9137366683720103,5064.0
-2346.0,-3.971478906347821,5065.0
-2330.0,-4.029064357136606,5066.0
-2284.0,-4.086490747363499,5067.0
-2274.0,-4.143755809932814,5068.0
-2272.0,-4.200857284118063,5069.0
-2228.0,-4.2577929156506915,5070.0
-2182.0,-4.314560456809583,5071.0
-2236.0,-4.371157666509351,5072.0
-2224.0,-4.427582310389003,5073.0
-2208.0,-4.483832160900274,5074.0
-2148.0,-4.539904997395448,5075.0
-2150.0,-4.595798606214887,5076.0
-2210.0,-4.651510780774556,5077.0
-2132.0,-4.707039321653327,5078.0
-2144.0,-4.762382036679357,5079.0
-2066.0,-4.817536741017147,5080.0
-2062.0,-4.872501257253345,5081.0
-2082.0,-4.927273415482903,5082.0
-2054.0,-4.981851053394862,5083.0
-2070.0,-5.036232016357589,5084.0
-2052.0,-5.090414157503721,5085.0
-2046.0,-5.1443953378151,5086.0
-2000.0,-5.198173426207036,5087.0
-2014.0,-5.251746299612925,5088.0
-1962.0,-5.305111843067335,5089.0
-1964.0,-5.358267949789988,5090.0
-1950.0,-5.411212521268746,5091.0
-1972.0,-5.463943467342646,5092.0
-1958.0,-5.5164587062842845,5093.0
-1962.0,-5.568756164881888,5094.0
-1948.0,-5.620833778521281,5095.0
-1886.0,-5.672689491267566,5096.0
-1890.0,-5.724321255945878,5097.0
-1910.0,-5.775727034222671,5098.0
-1910.0,-5.8269047966857235,5099.0
-1858.0,-5.87785252292472,5100.0
-1902.0,-5.928568201610607,5101.0
-1884.0,-5.979049830575171,5102.0
-1882.0,-6.029295416890255,5103.0
-1872.0,-6.07930297694603,5104.0
-1836.0,-6.129070536529767,5105.0
-1838.0,-6.178596130903315,5106.0
-1828.0,-6.227877804881121,5107.0
-1810.0,-6.27691361290697,5108.0
-1776.0,-6.325701619131234,5109.0
-1786.0,-6.374239897486911,5110.0
-1800.0,-6.422526531765827,5111.0
-1782.0,-6.4705596156943965,5112.0
-1746.0,-6.518337253008766,5113.0
-1736.0,-6.565857557529567,5114.0
-1706.0,-6.613118653236545,5115.0
-1730.0,-6.660118674342512,5116.0
-1704.0,-6.706855765367167,5117.0
-1754.0,-6.753328081210235,5118.0
-1700.0,-6.799533787224206,5119.0
-1674.0,-6.845471059286872,5120.0
-1686.0,-6.89113808387344,5121.0
-1684.0,-6.936533058128029,5122.0
-1690.0,-6.981654189934728,5123.0
-1652.0,-7.026499697988516,5124.0
-1686.0,-7.071067811865471,5125.0
-1654.0,-7.115356772092822,5126.0
-1682.0,-7.159364830218302,5127.0
-1612.0,-7.203090248879082,5128.0
-1670.0,-7.246531301870452,5129.0
-1648.0,-7.289686274214123,5130.0
-1630.0,-7.33255346222558,5131.0
-1642.0,-7.3751311735817415,5132.0
-1610.0,-7.417417727387368,5133.0
-1622.0,-7.459411454241818,5134.0
-1618.0,-7.501110696304567,5135.0
-1570.0,-7.54251380736103,5136.0
-1618.0,-7.583619152887184,5137.0
-1584.0,-7.6244251101144656,5138.0
-1560.0,-7.664930068093505,5139.0
-1566.0,-7.705132427757874,5140.0
-1572.0,-7.745030601987296,5141.0
-1596.0,-7.784623015670212,5142.0
-1550.0,-7.823908105765879,5143.0
-1532.0,-7.862884321366206,5144.0
-1534.0,-7.901550123756897,5145.0
-1518.0,-7.939903986478321,5146.0
-1508.0,-7.977944395385697,5147.0
-1522.0,-8.015669848708773,5148.0
-1554.0,-8.053078857111245,5149.0
-1500.0,-8.090169943749434,5150.0
-1506.0,-8.126941644330918,5151.0
-1492.0,-8.163392507171837,5152.0
-1504.0,-8.199521093254539,5153.0
-1500.0,-8.235325976284267,5154.0
-1534.0,-8.270805742745589,5155.0
-1488.0,-8.305958991958116,5156.0
-1538.0,-8.340784336131719,5157.0
-1492.0,-8.375280400421403,5158.0
-1478.0,-8.409445822981693,5159.0
-1474.0,-8.443279255020132,5160.0
-1496.0,-8.47677936085083,5161.0
-1474.0,-8.509944817946897,5162.0
-1472.0,-8.542774316992945,5163.0
-1498.0,-8.575266561936534,5164.0
-1442.0,-8.607420270039427,5165.0
-1486.0,-8.63923417192836,5166.0
-1464.0,-8.670707011644886,5167.0
-1442.0,-8.701837546695259,5168.0
-1486.0,-8.732624548099185,5169.0
-1468.0,-8.763066800438635,5170.0
-1438.0,-8.793163101905542,5171.0
-1470.0,-8.822912264349528,5172.0
-1442.0,-8.852313113324561,5173.0
-1462.0,-8.881364488135437,5174.0
-1490.0,-8.910065241883652,5175.0
