a_frac,b_frac,c_frac,time
0.248,0.4016,0.3504,4.849999999999941
0.2472,0.4028,0.35,4.859999999999941
0.2476,0.4028,0.3496,4.869999999999941
0.2476,0.4028,0.3496,4.87999999999994
0.2464,0.4032,0.3504,4.88999999999994
0.2464,0.4028,0.3508,4.89999999999994
0.2456,0.4028,0.3516,4.90999999999994
0.2452,0.4028,0.352,4.9199999999999395
0.2452,0.4028,0.352,4.929999999999939
0.2456,0.4028,0.3516,4.939999999999939
0.2456,0.4028,0.3516,4.949999999999939
0.246,0.4028,0.3512,4.959999999999939
0.2452,0.4036,0.3512,4.9699999999999385
0.2448,0.404,0.3512,4.979999999999938
0.2444,0.4036,0.352,4.989999999999938
0.2444,0.4044,0.3512,4.999999999999938
0.2436,0.4052,0.3512,5.009999999999938
0.2428,0.4052,0.352,5.019999999999937
0.2424,0.4052,0.3524,5.029999999999937
0.242,0.4056,0.3524,5.039999999999937
0.2424,0.4056,0.352,5.049999999999937
0.242,0.4056,0.3524,5.0599999999999365
0.242,0.4056,0.3524,5.069999999999936
0.2416,0.406,0.3524,5.079999999999936
0.2412,0.4064,0.3524,5.089999999999936
0.2396,0.4068,0.3536,5.099999999999936
0.2392,0.4072,0.3536,5.1099999999999355
0.2384,0.4068,0.3548,5.119999999999935
0.2384,0.4072,0.3544,5.129999999999935
0.238,0.4072,0.3548,5.139999999999935
0.2372,0.4072,0.3556,5.149999999999935
0.2368,0.4072,0.356,5.159999999999934
0.2372,0.4072,0.3556,5.169999999999934
0.2376,0.4064,0.356,5.179999999999934
0.2376,0.4068,0.3556,5.189999999999934
0.238,0.4068,0.3552,5.199999999999934
0.2376,0.4072,0.3552,5.209999999999933
0.238,0.4068,0.3552,5.219999999999933
0.2372,0.4076,0.3552,5.229999999999933
0.2368,0.4088,0.3544,5.239999999999933
0.2364,0.4088,0.3548,5.2499999999999325
0.2368,0.4084,0.3548,5.259999999999932
0.2368,0.4084,0.3548,5.269999999999932
0.2364,0.4088,0.3548,5.279999999999932
0.236,0.41,0.354,5.289999999999932
0.236,0.4096,0.3544,5.299999999999931
0.236,0.4096,0.3544,5.309999999999931
0.2352,0.4096,0.3552,5.319999999999931
0.2352,0.4104,0.3544,5.329999999999931
0.2352,0.4104,0.3544,5.339999999999931
0.2352,0.4104,0.3544,5.34999999999993
0.2348,0.4104,0.3548,5.35999999999993
0.2344,0.4104,0.3552,5.36999999999993
0.2348,0.4108,0.3544,5.37999999999993
0.234,0.4116,0.3544,5.3899999999999295
0.234,0.4116,0.3544,5.399999999999929
0.2348,0.4112,0.354,5.409999999999929
0.2344,0.4112,0.3544,5.419999999999929
0.2332,0.4112,0.3556,5.429999999999929
0.2328,0.4112,0.356,5.4399999999999284
0.2324,0.4112,0.3564,5.449999999999928
0.2324,0.412,0.3556,5.459999999999928
0.2324,0.412,0.3556,5.469999999999928
0.2316,0.412,0.3564,5.479999999999928
0.232,0.4116,0.3564,5.489999999999927
0.2324,0.4124,0.3552,5.499999999999927
0.2316,0.4124,0.356,5.509999999999927
0.232,0.412,0.356,5.519999999999927
0.232,0.4124,0.3556,5.5299999999999265
0.2324,0.4116,0.356,5.539999999999926
0.2312,0.4116,0.3572,5.549999999999926
0.2308,0.4116,0.3576,5.559999999999926
0.23,0.412,0.358,5.569999999999926
0.23,0.412,0.358,5.5799999999999255
0.23,0.4124,0.3576,5.589999999999925
0.23,0.4124,0.3576,5.599999999999925
0.2296,0.4124,0.358,5.609999999999925
0.2296,0.4124,0.358,5.619999999999925
0.2292,0.4124,0.3584,5.629999999999924
0.2292,0.412,0.3588,5.639999999999924
0.2288,0.412,0.3592,5.649999999999924
0.2288,0.412,0.3592,5.659999999999924
0.2288,0.4128,0.3584,5.6699999999999235
0.2284,0.4128,0.3588,5.679999999999923
0.2284,0.4128,0.3588,5.689999999999923
0.2284,0.4128,0.3588,5.699999999999923
0.2276,0.4132,0.3592,5.709999999999923
0.228,0.4128,0.3592,5.7199999999999225
0.2276,0.4128,0.3596,5.729999999999922
0.2272,0.4132,0.3596,5.739999999999922
0.2272,0.4132,0.3596,5.749999999999922
0.2276,0.4136,0.3588,5.759999999999922
0.2268,0.4136,0.3596,5.769999999999921
0.2276,0.4124,0.36,5.779999999999921
0.2264,0.4128,0.3608,5.789999999999921
0.2252,0.4132,0.3616,5.799999999999921
0.2244,0.4132,0.3624,5.809999999999921
0.2236,0.4132,0.3632,5.81999999999992
0.2232,0.4132,0.3636,5.82999999999992
0.2232,0.4136,0.3632,5.83999999999992
0.2228,0.4136,0.3636,5.84999999999992
0.2228,0.414,0.3632,5.8599999999999195
0.222,0.414,0.364,5.869999999999919
0.2216,0.414,0.3644,5.879999999999919
0.2216,0.414,0.3644,5.889999999999919
0.2224,0.4132,0.3644,5.899999999999919
0.222,0.4132,0.3648,5.909999999999918
0.2216,0.4132,0.3652,5.919999999999918
0.2208,0.4132,0.366,5.929999999999918
0.2204,0.4136,0.366,5.939999999999918
0.2188,0.414,0.3672,5.949999999999918
0.2188,0.4136,0.3676,5.959999999999917
0.2188,0.4136,0.3676,5.969999999999917
0.218,0.414,0.368,5.979999999999917
0.2184,0.4136,0.368,5.989999999999917
0.218,0.414,0.368,5.9999999999999165
0.218,0.414,0.368,6.009999999999916
0.2168,0.4148,0.3684,6.019999999999916
0.2168,0.4144,0.3688,6.029999999999916
0.216,0.4148,0.3692,6.039999999999916
0.216,0.4144,0.3696,6.0499999999999154
0.216,0.4144,0.3696,6.059999999999915
0.216,0.4144,0.3696,6.069999999999915
0.216,0.4144,0.3696,6.079999999999915
0.216,0.4148,0.3692,6.089999999999915
0.216,0.4148,0.3692,6.099999999999914
0.2156,0.4148,0.3696,6.109999999999914
